Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2021-11-13,198,2605.3210216649013,10317.550261735916,26.0,26,,,,0.5195513590902778,1.8709940910339355,0.2442796677350998,15269,,,,,16836668,458198
2021-11-14,151,2580.5615010411047,9598.086961388588,81.0,81,,,,0.5207405566350014,1.6768101453781128,0.2481941282749176,13219,,,,1164164,9864255,2766285
2021-11-15,149,2663.242305844918,12992.20383656025,118.0,118,,,,0.5505312993512121,1.8703724145889282,0.2558199167251587,17076,,,,,13397502,2409383
2021-11-16,128,2192.2083389590684,3257.7691094875336,61.0,61,,,,0.628686547105251,1.6068891286849976,0.2612176835536957,4966,,,,3491492,6423817,184030
2021-11-17,157,2348.5756234281284,13622.007520616055,133.0,132,,,,0.5644763046965393,1.7567178010940552,0.2558199167251587,17912,,,,,10443003,1217742
2021-11-18,239,2491.178006206975,13511.680437922478,56.0,54,,,,0.6098408179607601,2.9030022621154785,0.2558199167251587,19183,,,,,14500144,557290
2021-11-19,176,2371.6270809644807,12753.433566570282,116.0,114,,,,0.7642310197795262,1.793592929840088,0.2524321377277374,17306,,,,,11729514,850625
2021-11-20,69,2078.1130799196553,566.7220726013184,56.0,56,,,,0.6233546423709977,2.3543426990509033,0.2558199167251587,1544,,,,3447251,4873145,
2021-11-21,116,2061.301908948977,6270.313348293304,36.0,36,,,,0.5908132507857751,1.6087162494659424,0.2558199167251587,9236,,,,,8088849,76211
2021-11-22,267,2363.6220027504637,12500.309535622597,26.0,26,,,,0.6652979121984395,1.725893497467041,0.2558199167251587,18860,,,,,13187259,186107
2021-11-23,125,2286.5284975707104,10781.409048080444,109.0,109,,,,0.6239131356272603,1.7976443767547607,0.26694250106811523,14437,,,,,12230878,
2021-11-24,107,2242.844566413823,8725.926950335503,85.0,85,,,,0.5256098426536546,1.6370660066604614,0.2558199167251587,11934,,,,,11463246,
2021-11-25,136,2661.7776226789215,6117.793277382851,105.0,105,,,,0.49189592444185193,1.6574811935424805,0.2536102831363678,8945,,,,3611074,11380483,1587998
2021-11-26,132,2241.666121076114,8745.754580974579,71.0,64,,,,0.6631665210800548,1.8291618824005127,0.24845679104328156,12122,,,,,11454436,
2021-11-27,171,2339.26787348114,12892.238367199898,132.0,132,,,,0.7311400071693953,1.581729769706726,0.2558199167251587,17874,,,,,13184168,
2021-11-28,199,2365.477039430105,10638.958811998367,33.0,33,,,,0.6262210771695693,1.880240797996521,0.24938490986824036,15665,,,,,13648134,
2021-11-29,118,2142.2047482816392,9482.038176298141,97.0,97,,,,0.5071139596525267,1.625214695930481,0.26694250106811523,12877,,,,,9539440,68174
2021-11-30,275,2708.161115426309,16622.28961646557,94.0,94,,,,0.7253823118042549,1.6996593475341797,0.24913354218006134,23189,,,,,17080553,1149134
2021-12-01,106,2218.30151750604,9054.431176185608,88.0,88,,,,0.5492154700624713,1.6630834341049194,0.27101820707321167,12150,,,,,10010356,446549
2021-12-02,106,2262.444543243467,9123.190532207489,92.0,91,,,,0.45470357160512376,2.144932746887207,0.2558199167251587,12272,,,,,11779057,
2021-12-03,97,2338.0119368572246,6583.1831130981445,38.0,37,,,,0.5021385171488042,1.7410134077072144,0.2539939880371094,10187,,,,,10514966,1154982
2021-12-04,147,2488.691154091081,11331.98923611641,95.0,95,,,,0.6179482568429395,1.7204433679580688,0.2486119419336319,15782,,,,,15828118,
2021-12-05,204,2354.1231232712976,10054.205911397934,25.0,25,,,,0.563847493500214,1.8306896686553955,0.2522309422492981,15066,,,,,13447141,
2021-12-06,121,2224.6971263356327,10074.360216856003,96.0,96,,,,0.4527830222855791,1.6518350839614868,0.2558199167251587,13717,,,,,11155989,
2021-12-07,104,2089.4792443536026,8787.551020383835,83.0,83,,,,0.5256119457587334,1.6244747638702393,0.2558199167251587,12281,,,,,8762312,
2021-12-08,112,2251.4799670900347,8529.31190776825,71.0,71,,,,0.7332193406583472,1.7803230285644531,0.2558199167251587,11656,,,,,10582580,453216
2021-12-09,81,2074.4494809975836,6583.97510266304,59.0,59,,,,0.6958185051368596,1.7113641500473022,0.24857160449028015,9449,,,,,8487417,
2021-12-10,145,2281.903267860766,4365.672917723656,93.0,93,,,,0.6884145984516907,1.7479772567749023,0.27789464592933655,6538,,,,4190694,7684214,
2021-12-11,22,1781.2377675633993,1019.2991907596588,,,,,,0.5809419747606867,1.7900631427764893,0.2498702108860016,1731,,,,,3305705,
2021-12-12,152,2326.9076522908395,12582.089366912842,117.0,117,,,,0.7277503985133957,1.6683896780014038,0.25441110134124756,17470,,,,,12965360,
2021-12-13,67,2062.020401058967,5308.803264379501,42.0,42,,,,0.5580884437235818,1.7857784032821655,0.26694250106811523,7712,,,,,8276180,
2021-12-14,207,2435.720475769307,9727.820846438408,19.0,19,,,,0.7151995169259051,1.5897194147109985,0.24720709025859833,14580,,,,,14891607,
2021-12-15,67,1916.3501587244698,5536.412044644356,50.0,50,,,,0.44187283988511855,1.655207872390747,0.2558199167251587,7692,,,,,5082711,268265
2021-12-16,280,2821.400531437248,15025.533129274845,66.0,66,,,,0.6798964785706069,1.7060940265655518,0.24742484092712402,21406,,,,,18601810,1357243
2021-12-17,49,1937.1001471264046,4343.448027849197,40.0,40,,,,0.5456807942428641,1.6047676801681519,0.2558199167251587,6135,,,,,6064841,
2021-12-18,94,2471.2462337509724,363.27298378944397,88.0,88,,,,0.39602403345882425,0.6251693964004517,0.26694250106811523,1108,,,,5452646,9532224,67584
2021-12-19,152,2352.6352572632677,11003.511028289795,94.0,94,,,,0.745279747367004,2.216076135635376,0.24724465608596802,15604,,,,,13264611,68152
2021-12-20,73,1979.9841855661623,6268.437068462372,65.0,65,,,,0.4585814435289463,1.6557847261428833,0.2558199167251587,8602,,,,,6823988,
2021-12-21,243,2686.6328678101663,11525.467952251434,29.0,29,,,,0.571024291764661,1.5553176403045654,0.2487482875585556,17144,,,,,19038673,128582
2021-12-22,92,2029.8134386590705,5190.877846002579,25.0,25,,,,0.5663918162854613,1.7751837968826294,0.2498951554298401,7669,,,,,7706084,
